text,factcheck_publicprivate,factcheck_violenceform,location,lat,long,date_time,weekday
"Headline: Mörfelden-Walldorf: Exhibitionist vorläufig festgenommen

Description: Nach seiner vorläufigen Festnahme am Dienstag (01.07.) wird sich ein 34 Jahre alter Mann strafrechtlich verantworten müssen. Der 34-Jährige steht im Verdacht, sich am Nachmittag, gegen 15.30 Uhr, am Bahnhof Mörfelden aus einem Bus heraus entblößt und hierbei einer 29 Jahre alten Frau, die an der Bushaltestelle auf ihren Bus wartete, ...",in public,"harassment (e.g. verbal, exhibitionism)",Mörefelden-Walldorf,49.980722,8.561487,2025-07-02 10:05:00,Wednesday
"Headline: (FDS) Grömbach - Exhibitionist entblößt sich - Zeugensuche mit Täterbeschreibung

Description: Am Montagnachmittag ist eine Frau von einem Exhibitionisten belästigt worden. Nach bisherigem Stand der Ermittlungen lief die Frau gegen 18:30 Uhr nach dem Baden an der Nagoldtalsperre zu ihrem Handtusch, welches sie am Ufer, Nahe der Nagoldtalsperre entlang der Landesstraße 362 abgelegt hatte. Hier bemerkte sie einen ihr unbekannten Mann hinter ...",in public,"harassment (e.g. verbal, exhibitionism)",Grömbach,48.5728781,8.5457847,2025-07-02 09:50:00,Wednesday
"Headline: Nr.: 0422 --Angriff auf trans Person - Staatsschutz ermittelt--

Description: - Ort: Bremen-Walle, OT Walle, Bremerhavener Straße Zeit: 30.06.205, 19.30 Uhr Am Montagabend kam es an einer Straßenbahnhaltestelle im Bremer Stadtteil Walle zu einem gewalttätigen Übergriff auf eine 18-jährige trans Person. Der polizeiliche Staatsschutz hat die Ermittlungen aufgenommen. Nach bisherigen Erkenntnissen hielt sich die betroffene ...",in public,"physical violence (e.g. stabbing, rape)",Bremen,53.07929619999999,8.8016937,2025-07-02 09:30:00,Wednesday
"Headline: Pinneberg - Seniorin nach körperlicher Auseinandersetzung mit schweren Verletzungen im Krankenhaus - Polizei nimmt Sohn des Opfers vorläufig fest

Description: Am Montagabend (30.06.2025) ist es in einem Einfamilienhaus im Wohngebiet Pinneberg-Waldenau zu einer Gewalttat zwischen Mutter und Sohn gekommen, bei der die Frau schwere Verletzungen erlitt und in ein Krankenhaus verbracht werden musste. Nach bisherigen Erkenntnissen kam es gegen 21:50 Uhr auf ...",private environment,"physical violence (e.g. stabbing, rape)",Pinneberg,53.6633556,9.7925675,2025-07-01 14:43:00,Tuesday
"Headline: Erste Folgemeldung zu: Gemeinsame Pressemitteilung der Staatsanwaltschaft Essen und der Polizei Gelsenkirchen: Mann gesteht Gewalttat

Description: Die Polizei Gelsenkirchen berichtete heute Nacht, 1. Juli 2025, über einen 18-jährigen Gelsenkirchener, der eine Gewalttat in Horst gestanden hat (https://www.presseportal.de/blaulicht/pm/51056/6066719). Bei der 46-jährigen Frau, die leblos in der angegebenen Wohnung in der Harthorststraße ...",private environment,homicide,Gelsenkirchen,51.5187651,7.0838411,2025-07-01 13:12:00,Tuesday
"Headline: Sexuelle Belästigung - Bundespolizei stellt Tatverdächtigen im Hauptbahnhof

Description: Am Montagmittag (30. Juni) soll ein 66-jähriger Münsteraner ein 16-jähriges Mädchen im Vorbeigehen unsittlich berührt haben. Den Angaben der Jugendlichen zufolge, überquerte sie die Ampelanlage vor dem Hauptbahnhof in Richtung Windthorststraße, als der Mann sie angerempelt und an den Hintern gefasst haben soll. Der Mann verschwand anschließend ...",in public,"physical violence (e.g. stabbing, rape)",Münster,51.9606649,7.6261347,2025-07-01 11:37:00,Tuesday
"Headline: Mann schüchtert seine Frau nach häuslicher Gewalt im Beisein der Polizei ein

Description: Am Montag (30.06.2025) wurde eine Hagenerin in Hohenlimburg in der Mittagszeit bei einer häuslichen Gewalt verletzt. Ihr 33-jähriger Ehemann sei handgreiflich geworden und habe sie mehrfach mit einer Gürtelschnalle geschlagen, am Kragen des Kleides festgehalten und ihr mit der Faust gegen den Hinterkopf geschlagen. Um sich vor weiteren ...",private environment,"physical violence (e.g. stabbing, rape)",Hagen-Hohenlimburg,51.3570948,7.56449,2025-07-01 11:12:00,Tuesday
"Headline: Heidelberg: Zwei verletzte Fußgängerinnen nach Bewurf mit Wasserballons - Zeugenaufruf

Description: Am Montag gegen 21:20 Uhr waren zwei Frauen im Alter von 76 Jahren und 45 Jahren zu Fuß entlang der Hertzstraße im Heidelberger Stadtteil Rohrbach unterwegs, als vier bis fünf Jugendliche auf E-Scootern an ihnen vorbeifuhren und sie mit wassergefüllten Ballons bewarfen. Beide Frauen wurden am Oberkörper getroffen und wurden hierbei leicht ...",in public,"physical violence (e.g. stabbing, rape)",Heidelberg,49.3987524,8.6724335,2025-07-01 10:38:00,Tuesday
"Headline: Frau geschlagen

Description: Die Polizei sucht zwei Jugendliche, die in der Nacht zu Dienstag eine Frau am Fackelrondell geschlagen haben. Gegen Mitternacht sollen die zwei jungen Männer die 44-jährige Frau angesprochen haben. Im Verlauf entwickelte sich ein Streitgespräch. Dabei schlugen ihr die Unbekannten jeweils ins Gesicht. Im Anschluss verschwanden die Täter in unbekannte Richtung. Die 44-Jährige konnte keine genaue Beschreibung abgeben. Die Jugendlichen waren ungefähr ...",in public,"physical violence (e.g. stabbing, rape)",Kaiserslautern,49.4400657,7.7491265,2025-07-01 09:56:00,Tuesday
"Headline: Nach sexueller Belästigung - 26-Jährigen vorläufig festgenommen

Description: Polizeibeamte haben am Montag (30.06.2025) einen 26 Jahre alten Mann festgenommen, der im Verdacht steht, eine 45-jährige Frau sexuell belästigt zu haben. Die 45-Jährige befand sich gegen 11.30 Uhr im Bereich der Boslerstraße, als sich der 26-Jährige ihr näherte, sie gegen ihren Willen küsste und unsittlich berührte. Alarmierte Beamte ...",relationship unclear,"physical violence (e.g. stabbing, rape)",Stuttgart-Ost,48.7820069,9.2086769,2025-07-01 09:09:00,Tuesday
"Headline: Exhibitionist im Botanischen Garten - Zeugen gesucht

Description: Plieningen (ots) - Ein unbekannter Mann hat am frühen Sonntagmorgen (29.06.2025) im Botanischen Garten vor einer jungen Frau an seinem Glied manipuliert. Die 17-Jährige befand sich gegen 01.55 Uhr auf Höhe eines Zugangs, als sie den unbekannten Mann bemerkte, der an seinem Glied manipulierte. Der Unbekannte war sehr schlank. Zeugen werden gebeten, sich ...",in public,"harassment (e.g. verbal, exhibitionism)",Stuttgart- Plieningen,48.7087513,9.2052496,2025-06-30 15:18:00,Monday
"Headline: Dorsten: Frau und Kleinkind tot aufgefunden - Nachtragsmeldung

Description: Gemeinsame Presseerklärung der Staatsanwaltschaft Essen und des Polizeipräsidiums Recklinghausen: Nach dem Fund einer leblosen Frau und eines leblosen Kindes am Sonntag (29.06.2025) gibt es neue Erkenntnisse. Bei der Frau handelt es sich um eine 32-jährige Ukrainerin, bei dem Kind um ihre 1 Jahr und 7 Monate alte Tochter. Beide wohnten in ...",private environment,homicide,Recklinghausen,51.6117809,7.197388500000001,2025-06-30 13:52:00,Monday
"Headline: Exhibitionist am Busbahnhof in Rheydt

Description: Am Samstag, 28. Juni, zeigte sich zwischen 23.30 bis 23.45 Uhr an der Bahnhofstraße in Rheydt ein bislang Unbekannter einer 17-Jährigen in schamverletzender Weise. Nach Aussage der Jugendlichen habe sie am Busbahnhof in Rheydt gewartet, als ihr ein Mann auf einem Fahrrad auffiel, der den Platz immer wieder umkreiste. Der Mann soll plötzlich in ihre Richtung gepfiffen und dabei seine Hose sowie ...",in public,"harassment (e.g. verbal, exhibitionism)",Mönchengladbach,51.1941686,6.4315392,2025-06-30 12:46:00,Monday
"Headline: Sexuelle Belästigung in Linienbus

Description: Am Freitag, 27. Juni, ist eine Jugendliche in einem Bus der NEW sexuell belästigt worden. Die Polizei bittet nun um Hinweise zu dem Tatverdächtigen. Die Tat ereignete sich gegen 15 Uhr. Die 17-Jährige war mit einem Bus der Linie 16 unterwegs, als der Unbekannte am Marienplatz zustieg und neben ihr Platz nahm. Im Laufe der Fahrt habe er das Mädchen zunehmend unsittlich berührt. Anschließend ...",in public,"physical violence (e.g. stabbing, rape)",Mönchengladbach,51.1941686,6.4315392,2025-06-30 12:14:00,Monday
"Headline: Freiburg-Betzenhausen: 27-Jähriger soll mehrere Jugendliche beim Schwimmen sexuell belästigt haben

Description: Am Samstag, 28.06.2025, soll ein 27-Jähriger mehrere jugendliche Schwimmerinnen und Schwimmer im Flückigersee in Freiburg sexuell belästigt haben. Ein Zeuge hatte die Polizei um 19 Uhr verständigt und mitgeteilt, dass eine mehrköpfige Männergruppe im See Mädchen bedrängen würde. Vor Ort ...",relationship unclear,"physical violence (e.g. stabbing, rape)",Freiburg,47.9990077,7.842104299999999,2025-06-30 11:38:00,Monday
"Headline: Mann entblößt sich vor 66-Jähriger

Description: Im Waldgebiet am Markscheiderweg hat ein bislang unbekannter Täter am Sonntag, 29. Juni, um 8.30 Uhr sein Glied vor einer 66-Jährigen entblößt. Anschließend nahm er sein Gemächt in die Hand und entfernt sich wieder von der Örtlichkeit. Die Hammerin beschreibt den Täter wie folgt: männlich, zwischen 30-40 Jahre alt, weißes T-Shirt, schwarzer Helm. Hinweise zum Flüchtigen nimmt die Polizei ...",in public,"harassment (e.g. verbal, exhibitionism)",Hamm-Pelkum,51.6399839,7.7547714,2025-06-30 11:26:00,Monday
"Headline: (UL) Ulm - In Streit geraten / Am Sonntag waren wohl falsch abgestellt Schuhe die Ursache für einen Streit in Ulm.

Description: Der Streit ereignete sich um kurz nach 11.00 Uhr in der Wielandstraße. Es kam zum lautstarken Streit zwischen einem 56-Jährigen und einer 35-Jährigen. Die Frau wurde dabei wohl auch mit einem Messer bedroht. Die Polizeistreife vor Ort klärte die Umstände. Grund für den Streit waren wohl nicht ...",relationship unclear,"harassment (e.g. verbal, exhibitionism)",Ulm,48.4010822,9.987607599999999,2025-06-30 11:01:00,Monday
"Headline: Gepackt und in den Ausschnitt geschaut - Bundespolizei fasst Tatverdächtigen

Description: Am Abend des 29. Juni alarmierten Mitarbeiter der Deutschen Bahn die Bundespolizisten am Dortmunder Hauptbahnhof. Ein 41-Jähriger habe eine Minderjährige belästigt. Gegen 17:30 Uhr informierte die DB-Sicherheit die Einsatzkräfte am Hauptbahnhof Dortmund, nachdem eine junge Frau und ihr Begleiter ...",in public,"physical violence (e.g. stabbing, rape)",Dortmund,51.5135872,7.465298100000001,2025-06-30 09:20:00,Monday
